case,column_type,connection,switchboard_height_toa,availableColumns,npe_offset
breaker_bottom_1800_2_No,breaker,bottom,1800,2,No
breaker_bottom_1800_2_Yes,breaker,bottom,1800,2,Yes
breaker_top_1800_2_No,breaker,top,1800,2,No
breaker_top_1800_2_Yes,breaker,top,1800,2,Yes
breaker_bottom_2100_2_No,breaker,bottom,2100,2,No
breaker_bottom_2100_2_Yes,breaker,bottom,2100,2,Yes
breaker_top_2100_2_No,breaker,top,2100,2,No
breaker_top_2100_2_Yes,breaker,top,2100,2,Yes
breaker_bottom_1800_3_No,breaker,bottom,1800,3,No
breaker_bottom_1800_3_Yes,breaker,bottom,1800,3,Yes
breaker_top_1800_3_No,breaker,top,1800,3,No
breaker_top_1800_3_Yes,breaker,top,1800,3,Yes
breaker_bottom_2100_3_No,breaker,bottom,2100,3,No
breaker_bottom_2100_3_Yes,breaker,bottom,2100,3,Yes
breaker_top_2100_3_No,breaker,top,2100,3,No
breaker_top_2100_3_Yes,breaker,top,2100,3,Yes
coupler_bottom_1800_2_No,coupler,bottom,1800,2,No
coupler_bottom_1800_2_Yes,coupler,bottom,1800,2,Yes
coupler_top_1800_2_No,coupler,top,1800,2,No
coupler_top_1800_2_Yes,coupler,top,1800,2,Yes
coupler_bottom_2100_2_No,coupler,bottom,2100,2,No
coupler_bottom_2100_2_Yes,coupler,bottom,2100,2,Yes
coupler_top_2100_2_No,coupler,top,2100,2,No
coupler_top_2100_2_Yes,coupler,top,2100,2,Yes
fuse_switch_disconnector_bottom_1800_2_No,fuse_switch_disconnector,bottom,1800,2,No
fuse_switch_disconnector_bottom_1800_2_Yes,fuse_switch_disconnector,bottom,1800,2,Yes
fuse_switch_disconnector_top_1800_2_No,fuse_switch_disconnector,top,1800,2,No
fuse_switch_disconnector_top_1800_2_Yes,fuse_switch_disconnector,top,1800,2,Yes
fuse_switch_disconnector_bottom_2100_2_No,fuse_switch_disconnector,bottom,2100,2,No
fuse_switch_disconnector_bottom_2100_2_Yes,fuse_switch_disconnector,bottom,2100,2,Yes
fuse_switch_disconnector_top_2100_2_No,fuse_switch_disconnector,top,2100,2,No
fuse_switch_disconnector_top_2100_2_Yes,fuse_switch_disconnector,top,2100,2,Yes
fuse_switch_disconnector_bottom_1800_3_No,fuse_switch_disconnector,bottom,1800,3,No
fuse_switch_disconnector_bottom_1800_3_Yes,fuse_switch_disconnector,bottom,1800,3,Yes
fuse_switch_disconnector_top_1800_3_No,fuse_switch_disconnector,top,1800,3,No
fuse_switch_disconnector_top_1800_3_Yes,fuse_switch_disconnector,top,1800,3,Yes
fuse_switch_disconnector_bottom_2100_3_No,fuse_switch_disconnector,bottom,2100,3,No
fuse_switch_disconnector_bottom_2100_3_Yes,fuse_switch_disconnector,bottom,2100,3,Yes
fuse_switch_disconnector_top_2100_3_No,fuse_switch_disconnector,top,2100,3,No
fuse_switch_disconnector_top_2100_3_Yes,fuse_switch_disconnector,top,2100,3,Yes
switch_disconnector_fuse_bottom_1800_2_No,switch_disconnector_fuse,bottom,1800,2,No
switch_disconnector_fuse_bottom_1800_2_Yes,switch_disconnector_fuse,bottom,1800,2,Yes
switch_disconnector_fuse_top_1800_2_No,switch_disconnector_fuse,top,1800,2,No
switch_disconnector_fuse_top_1800_2_Yes,switch_disconnector_fuse,top,1800,2,Yes
switch_disconnector_fuse_bottom_2100_2_No,switch_disconnector_fuse,bottom,2100,2,No
switch_disconnector_fuse_bottom_2100_2_Yes,switch_disconnector_fuse,bottom,2100,2,Yes
switch_disconnector_fuse_top_2100_2_No,switch_disconnector_fuse,top,2100,2,No
switch_disconnector_fuse_top_2100_2_Yes,switch_disconnector_fuse,top,2100,2,Yes
switch_disconnector_fuse_bottom_1800_3_No,switch_disconnector_fuse,bottom,1800,3,No
switch_disconnector_fuse_bottom_1800_3_Yes,switch_disconnector_fuse,bottom,1800,3,Yes
switch_disconnector_fuse_top_1800_3_No,switch_disconnector_fuse,top,1800,3,No
switch_disconnector_fuse_top_1800_3_Yes,switch_disconnector_fuse,top,1800,3,Yes
switch_disconnector_fuse_bottom_2100_3_No,switch_disconnector_fuse,bottom,2100,3,No
switch_disconnector_fuse_bottom_2100_3_Yes,switch_disconnector_fuse,bottom,2100,3,Yes
switch_disconnector_fuse_top_2100_3_No,switch_disconnector_fuse,top,2100,3,No
switch_disconnector_fuse_top_2100_3_Yes,switch_disconnector_fuse,top,2100,3,Yes
